"time","pitch"
0,NA
0.0125,NA
0.025,234.578567504883
0.0375,247.589691162109
0.05,259.379791259766
0.0625,272.982391357422
0.075,282.755767822266
0.0875,301.681182861328
0.1,311.230163574219
0.1125,320.981018066406
0.125,322.543670654297
0.1375,323.143280029297
0.15,323.849029541016
0.1625,NA
0.175,NA
0.1875,NA
0.2,NA
0.2125,NA
0.225,NA
0.2375,334.457458496094
0.25,332.488372802734
0.2625,331.801116943359
0.275,334.305114746094
0.2875,331.766906738281
0.3,NA
0.3125,NA
0.325,NA
0.3375,NA
0.35,322.286682128906
0.3625,321.780334472656
0.375,321.447845458984
0.3875,318.027679443359
0.4,316.64794921875
0.4125,311.779083251953
0.425,304.842010498047
0.4375,298.299621582031
0.45,292.201507568359
0.4625,280.937866210938
0.475,271.694641113281
0.4875,224.593383789062
0.5,202.189422607422
0.5125,NA
0.525,NA
0.5375,NA
0.55,200.801315307617
0.5625,NA
0.575,NA
0.5875,NA
0.6,NA
0.6125,NA
0.625,267.945526123047
0.6375,272.048675537109
0.65,300.4306640625
0.6625,316.454376220703
0.675,323.694305419922
0.6875,329.555145263672
0.7,334.504821777344
0.7125,333.389892578125
0.725,330.505401611328
0.7375,327.823486328125
0.75,325.489654541016
0.7625,319.901947021484
0.775,318.249847412109
0.7875,321.512115478516
0.8,319.885223388672
0.8125,NA
0.825,NA
0.8375,NA
0.85,NA
0.8625,309.567321777344
0.875,307.876434326172
0.8875,304.732177734375
0.9,302.013854980469
0.9125,299.085174560547
0.925,295.310028076172
0.9375,290.742431640625
0.95,289.681610107422
0.9625,303.641326904297
0.975,305.264007568359
0.9875,311.352905273438
1,311.111724853516
1.0125,305.114776611328
1.025,310.639892578125
1.0375,314.339599609375
1.05,242.061279296875
1.0625,249.371688842773
1.075,249.236190795898
1.0875,246.023284912109
1.1,243.988967895508
1.1125,242.417495727539
1.125,243.286804199219
1.1375,243.564880371094
1.15,200.525726318359
1.1625,NA
1.175,NA
1.1875,NA
1.2,291.430236816406
1.2125,302.365081787109
1.225,314.608642578125
1.2375,325.672698974609
1.25,330.634033203125
1.2625,334.563568115234
1.275,337.633697509766
1.2875,341.685424804688
1.3,342.154296875
1.3125,341.583312988281
1.325,340.336395263672
1.3375,338.700225830078
1.35,336.344909667969
1.3625,331.278503417969
1.375,325.826477050781
1.3875,320.453430175781
1.4,290.565826416016
1.4125,NA
1.425,276.557708740234
1.4375,258.939727783203
1.45,235.61279296875
1.4625,NA
1.475,NA
1.4875,NA
